category,idiklan,url,price,title,dilihat,place,device
Bekas,396829004        			,http://olx.co.id/iklan/sepasang-speaker-surround-sony-ss-sr10-IDqR3lO.html,100.000,Sepasang speaker surround sony ss sr10,11,"Surabaya Kota, Jawa Timur",via HP
Bekas,396828923        			,http://olx.co.id/iklan/sepasang-speker-subofer-2-way-speker-system-aiwa-IDqR3kw.html,175.000,Sepasang speker subofer 2 way speker system aiwa,19,"Semarang Kota, Jawa Tengah",via HP
Bekas,396829779        			,http://olx.co.id/iklan/televisi-fujitec-21-inci-semi-datar-IDqR3yj.html,449.999,"Televisi Fujitec 21"" Inci Semi Datar",5,"Padang Kota, Sumatra Barat",via HP
Bekas,396672558        			,http://olx.co.id/iklan/led-philips-24inc-murah-IDqQoEu.html,1.300.000,LED PHILIPS 24inc murah,7,"Bandung Kota, Jawa Barat",via HP
Bekas,396829079        			,http://olx.co.id/iklan/darbuka-lokal-83-4-in-mika-emin-IDqR3n1.html,1.100.000,Darbuka lokal 83/4 in mika emin,2,"Yogyakarta Kota, Yogyakarta D.I.",via HP
Bekas,396822873        			,http://olx.co.id/iklan/salon-aktiv-sub-wofer-IDqR1KW.html,200.000,Salon aktiv sub wofer,6,"Jakarta Utara, Jakarta D.K.I.",via HP
Baru,396829724        			,http://olx.co.id/iklan/speaker-advance-duo-600-IDqR3xq.html,210.000,Speaker advance duo 600,8,"Jakarta Utara, Jakarta D.K.I.",via HP
Bekas,396829378        			,http://olx.co.id/iklan/led-monitorr-pc-samsung-IDqR3rQ.html,200.000,Led monitorr pc samsung,24,"Yogyakarta Kota, Yogyakarta D.I.",via HP
Bekas,396830698        			,http://olx.co.id/iklan/tv-plasma-43-in-movie-IDqR3N8.html,3.500.000,Tv plasma 43 in..movie,4,"Balikpapan Kota, Kalimantan Timur",via HP
Baru,396668414        			,http://olx.co.id/iklan/led-polytron-20-inch-terbaru-garansi-resmi-IDqQnzE.html,1.299.000,Led polytron 20 inch terbaru garansi resmi,9,"Yogyakarta Kota, Yogyakarta D.I.",via HP
Bekas,396830544        			,http://olx.co.id/iklan/power-suplay-set-inferter-lcd-samsung-IDqR3KE.html,300.000,Power suplay set inferter lcd samsung,1,"Jakarta Barat, Jakarta D.K.I.",via HP
Bekas,396816009        			,http://olx.co.id/iklan/stabilizer-ica-fr-3000-IDqQZYd.html,5.000.000,Stabilizer ICA fr 3000,3,"Jakarta Pusat, Jakarta D.K.I.",via HP
Bekas,396832633        			,http://olx.co.id/iklan/andromax-a-4g-gsm-rom-vivo-fulls-harganett-IDqR4il.html,550.000,Andromax A 4G GSM Rom Vivo Fulls (HargaNett),6,"Bandung Kota, Jawa Barat",via HP
Baru,396832618        			,http://olx.co.id/iklan/oppo-a37f-gold-segel-box-IDqR4i6.html,1.750.000,Oppo a37f gold segel box,3,"Cimahi Kota, Jawa Barat",via HP
Bekas,396832694        			,http://olx.co.id/iklan/andromax-a-4g-lte-segel-IDqR4jk.html,450.000,Andromax a 4G lte segel,8,"Jakarta Barat, Jakarta D.K.I.",via HP
Bekas,396816093        			,http://olx.co.id/iklan/sharp-air-purifier-normal-mulus-IDqQZZz.html,790.000,Sharp Air Purifier Normal Mulus,7,"Yogyakarta Kota, Yogyakarta D.I.",via HP
Bekas,396815999        			,http://olx.co.id/iklan/mesin-cuci-sharp-10kg-bisa-dicicil-tanpa-kartu-kredit-bunga-0-IDqQZY3.html,3.849.150,Mesin cuci sharp 10kg bisa dicicil tanpa kartu kredit bunga 0%,8,"Jakarta Barat, Jakarta D.K.I.",via HP
Bekas,396817533        			,http://olx.co.id/iklan/compresor-angin-kondisi-90-IDqR0mN.html,3.000.000,Compresor angin kondisi 90%,15,"Padang Kota, Sumatra Barat",via HP
Bekas,396817869        			,http://olx.co.id/iklan/kulkas-mini-polytron-mulus-kinclong-2-bulan-pemakaian-IDqR0sd.html,1.700.000,Kulkas mini polytron mulus kinclong 2 bulan pemakaian,4,"Mataram Kota, Nusa Tenggara Barat",via HP
Bekas,396817324        			,http://olx.co.id/iklan/ac-midea-1-2-pk-IDqR0jq.html,800.000,Ac midea 1/2 Pk,19,"Bogor Kota, Jawa Barat",via HP
Bekas,396641714        			,http://olx.co.id/iklan/kulkas-sharp-samurai-2-pintu-IDqQgD0.html,800.000,Kulkas sharp samurai 2 pintu,44,"Tangerang Kota, Banten",via HP
Bekas,396825499        			,http://olx.co.id/iklan/hifi-compo-home-theater-sony-mhc-v7700av-IDqR2rh.html,2.300.000,Hifi compo home theater sony mhc v7700av,18,"Surabaya Kota, Jawa Timur",via HP
Bekas,396825848        			,http://olx.co.id/iklan/tv-21in-polytron-ada-subwofer-IDqR2vU.html,400.000,Tv 21in polytron ada subwofer,22,"Sleman Kab., Yogyakarta D.I.",via HP
Baru,396831029        			,http://olx.co.id/iklan/lg-led-tv-32lj500-bisa-dicicil-tanpa-kartu-kredit-IDqR3St.html,2.699.000,LG LED TV 32LJ500 Bisa Dicicil Tanpa Kartu Kredit,1,"Depok Kota, Jawa Barat",via HP
Baru,396825748        			,http://olx.co.id/iklan/led-tcl-20-inch-usb-movie-baru-IDqR2wi.html,1.299.000,Led TCL 20 inch usb movie baru,3,"Surakarta Kota, Jawa Tengah",via HP
Bekas,396825814        			,http://olx.co.id/iklan/dijual-murah-speaker-plus-box-buat-sound-system-IDqR2vm.html,3.500.000,"Dijual murah speaker plus box,buat sound system.",3,"Sarolangun Kab., Jambi",via HP
Bekas,396832923        			,http://olx.co.id/iklan/iphone-4s-16gb-mulus-bagus-ex-resmi-ibox-IDqR4n1.html,700.000,Iphone 4s 16gb mulus bagus ex resmi ibox,4,"Tangerang Selatan Kota, Banten",via HP
Bekas,396832994        			,http://olx.co.id/iklan/samsung-c9-pro-ram6-64-gb-batangan-IDqR4oa.html,4.350.000,Samsung c9 pro ram6/64 gb batangan,5,"Bekasi Kota, Jawa Barat",via HP
Bekas,396832944        			,http://olx.co.id/iklan/lenovo-layar-canggih-s820-kamera-bagus-13-mp-IDqR4nm.html,850.000,Lenovo layar canggih s820 kamera bagus 13 mp,2,"Bogor Kota, Jawa Barat",via HP
Baru,396665219        			,http://olx.co.id/iklan/mi6-6-128-black-full-IDqQmK7.html,5.895.000,Mi6 6/128 Black Full,8,"Jakarta Timur, Jakarta D.K.I.",via HP
Baru,396832998        			,http://olx.co.id/iklan/xiaomi-redminote-4x-ram-3-32-gb-baru-khusus-kredit-cepat-tanpa-survey-IDqR4oe.html,2.000.000,Xiaomi redminote 4x ram 3/32 gb baru khusus kredit cepat tanpa survey,8,"Bandung Kota, Jawa Barat",via HP
Bekas,396832909        			,http://olx.co.id/iklan/jual-cepat-samsung-duos-ok-semua-lancar-IDqR4mN.html,160.000,"Jual cepat samsung duos,ok semua,lancar",20,"Medan Kota, Sumatra Utara",via HP
Bekas,396832898        			,http://olx.co.id/iklan/jual-iphone-6-16gb-grey-mulus-jos-IDqR4mC.html,2.800.000,Jual Iphone 6 16gb Grey Mulus Jos,13,"Semarang Kota, Jawa Tengah",via HP
Bekas,396833009        			,http://olx.co.id/iklan/vivo-y21-lengkap-IDqR4op.html,700.000,Vivo Y21 lengkap,10,"Kulon Progo Kab., Yogyakarta D.I.",via HP
Bekas,396832889        			,http://olx.co.id/iklan/samsung-galaxy-v-IDqR4mt.html,550.000,SAMSUNG galaxy V,5,"Yogyakarta Kota, Yogyakarta D.I.",via HP
Bekas,396833144        			,http://olx.co.id/iklan/jual-samsung-a8-gold-batangan-IDqR4qA.html,2.200.000,Jual samsung A8 gold batangan,17,"Surabaya Kota, Jawa Timur",via HP
Bekas,396833099        			,http://olx.co.id/iklan/xiaomi-redmi-note-3-32-mediatek-IDqR4pR.html,1.500.000,Xiaomi redmi note 3/32 Mediatek,4,"Balikpapan Kota, Kalimantan Timur",via HP
Bekas,396833054        			,http://olx.co.id/iklan/huawei-p9-ram-3-hape-saja-IDqR4p8.html,1.850.000,Huawei p9 ram 3 hape saja,4,"Semarang Kota, Jawa Tengah",via HP
Bekas,396637699        			,http://olx.co.id/iklan/tv-sharp-32inchmulus-dan-normal-100-unit-remot-IDqQfAf.html,1.900.000,Tv SHARP 32inchmulus dan normal 100% unit remot,6,"Palu Kota, Sulawesi Tengah",via HP
Bekas,396833154        			,http://olx.co.id/iklan/nokia-6-fullsett-IDqR4qK.html,2.650.000,NOKIA 6 fullsett,12,"Bandung Kota, Jawa Barat",via HP
Baru,396832334        			,http://olx.co.id/iklan/oppo-f3plus-glod-IDqR4dv.html,5.199.000,Oppo F3Plus-Glod,1,"Jakarta Pusat, Jakarta D.K.I.",via HP
Bekas,396832299        			,http://olx.co.id/iklan/samsung-galaxy-tab-4-2-16-IDqR4cX.html,1.250.000,Samsung galaxy tab 4 2/16,5,"Makassar Kota, Sulawesi Selatan",via HP
Bekas,396668509        			,http://olx.co.id/iklan/xiaomi-redmi-2-lte-4g-ram-1gb-cari-tt-atau-bt-wa-aja-IDqQnBb.html,875.000,Xiaomi redmi 2 lte 4G ram 1GB  cari tt atau bt WA aja,1,"Pringsewu Kab., Lampung",via HP
Bekas,396832349        			,http://olx.co.id/iklan/cari-mesin-sony-experia-c-c2305-IDqR4dL.html,150.000,Cari mesin sony experia c c2305,2,"Jakarta Selatan, Jakarta D.K.I.",via HP
Bekas,396652869        			,http://olx.co.id/iklan/kipas-ac-bisa-jadi-kipas-heksos-IDqQjvW.html,1.000.000,Kipas ac bisa jadi kipas/ heksos,14,"Jakarta Barat, Jakarta D.K.I.",via HP
Bekas,396653999        			,http://olx.co.id/iklan/jual-dispenser-mrk-sansio-mulus-normal-sm-galon-IDqQjP9.html,500.000,Jual dispenser mrk sansio mulus normal sm galon,15,"Surabaya Kota, Jawa Timur",via HP
Baru,396665833        			,http://olx.co.id/iklan/grs-tam-redmi-4x-3-32-prime-IDqQmU1.html,1.815.000,Grs TAM Redmi 4x 3/32 Prime,1,"Jakarta Timur, Jakarta D.K.I.",via HP
Baru,396812758        			,http://olx.co.id/iklan/andaaa-bisa-miliki-barang-impian-anda-hanya-30-menit-sajaa-IDqQZ7M.html,3.100.000,Andaaa Bisa...Miliki Barang Impian Anda Hanya 30 Menit Sajaa..,4,"Tangerang Kota, Banten",via HP
Bekas,396832373        			,http://olx.co.id/iklan/advan-s5e-pro-550000-IDqR4e9.html,550.000,Advan s5e pro... 550000,2,"Bukittinggi Kota, Sumatra Barat",via HP
Bekas,396812864        			,http://olx.co.id/iklan/kulkas-sharp-1-pintu-IDqQZ9u.html,850.000,Kulkas sharp 1 pintu,4,"Pekanbaru Kota, Riau",via HP
Bekas,396813023        			,http://olx.co.id/iklan/kulkas-lg-1-pintu-IDqQZc3.html,1.300.000,Kulkas LG 1 pintu,12,"Medan Kota, Sumatra Utara",via HP
Baru,396654753        			,http://olx.co.id/iklan/ac-minimalis-ac-mini-watt-yang-simple-fleksible-dan-extra-irit-IDqQk1j.html,650.000,"Ac minimalis ac mini watt yang simple, fleksible dan extra irit .",3,"Jakarta Timur, Jakarta D.K.I.",via HP
Bekas,396655059        			,http://olx.co.id/iklan/kulkas-sharp-jumbo-IDqQk6f.html,1.100.000,Kulkas SHARP Jumbo,7,"Batam Kota, Kepulauan Riau",via HP
Baru,396651749        			,http://olx.co.id/iklan/jual-cepat-kulkas-aqua-bisa-cash-atau-kredit-proses-30-menit-IDqQjeR.html,3.800.000,Jual  cepat Kulkas aqua bisa cash atau kredit proses 30 menit,8,"Tangerang Selatan Kota, Banten",via HP
Bekas,396813969        			,http://olx.co.id/iklan/outdoor-ac-1-pk-mitsubishi-IDqQZrj.html,875.500,Outdoor AC 1 Pk Mitsubishi,4,"Badung Kab., Bali",via HP
Bekas,396823923        			,http://olx.co.id/iklan/tapedeck-polytron-bigband-error-IDqR21R.html,350.000,Tapedeck Polytron Bigband ERROR,12,"Bogor Kota, Jawa Barat",via HP
Bekas,396823844        			,http://olx.co.id/iklan/tv-sharp-alexander-21-IDqR20A.html,750.000,"TV Sharp Alexander 21""",13,"Yogyakarta Kota, Yogyakarta D.I.",via HP
Bekas,396823963        			,http://olx.co.id/iklan/gps-papagox-9-kondisi-normal-IDqR22w.html,500.000,Gps PapagoX 9 kondisi Normal,4,"Jakarta Pusat, Jakarta D.K.I.",via HP
Baru,396824179        			,http://olx.co.id/iklan/speaker-aktif-advance-duo-066-IDqR25Z.html,110.000,Speaker aktif advance duo 066,9,"Bandung Kota, Jawa Barat",via HP
Baru,396824758        			,http://olx.co.id/iklan/temperatur-glass-anti-gores-kaca-IDqR2fk.html,15.000,Temperatur glass anti gores kaca,20,"Medan Kota, Sumatra Utara",via HP
Bekas,396824384        			,http://olx.co.id/iklan/amplifier-pioneer-sa-6200-IDqR29i.html,1.950.000,Amplifier PIONEER SA-6200,19,"Bogor Kota, Jawa Barat",via HP
Bekas,396825029        			,http://olx.co.id/iklan/tv-akari-2i-inc-IDqR2jH.html,300.000,Tv akari 2i inc,7,"Cimahi Kota, Jawa Barat",via HP
Baru,396639033        			,http://olx.co.id/iklan/speaker-aktiv-bluetooth-speaker-bluetooth-2in1-IDqQfWL.html,385.000,Speaker Aktiv Bluetooth/speaker Bluetooth 2in1,5,"Denpasar Kota, Bali",via HP
Baru,396640489        			,http://olx.co.id/iklan/ceiling-speaker-speaker-plafon-toa-zs-645-r-IDqQgjf.html,400.000,Ceiling speaker/speaker plafon TOA ZS 645-R,3,"Depok Kota, Jawa Barat",via HP
Bekas,396640208        			,http://olx.co.id/iklan/speaker-set-i-con-sa-630ii-IDqQgeI.html,250.000,Speaker set I-con SA-630II,10,"Batam Kota, Kepulauan Riau",via HP
Baru,396825504        			,http://olx.co.id/iklan/dash-cam-mobitech-IDqR2rm.html,275.000,Dash cam Mobitech,4,"Jakarta Timur, Jakarta D.K.I.",via HP
Bekas,396814569        			,http://olx.co.id/iklan/dijual-ac-merek-sharp-eco-inverter-IDqQZAZ.html,1.200.000,Dijual AC Merek Sharp eco inverter,23,"Tangerang Kota, Banten",via HP
Baru,396640868        			,http://olx.co.id/iklan/ac-minimalis-watt-17-paling-murah-cukup-bekukan-gampang-terpasang-IDqQgpm.html,350.000,Ac minimalis  watt 17 paling murah Cukup bekukan gampang terpasang,5,"Jakarta Selatan, Jakarta D.K.I.",via HP
Baru,396815558        			,http://olx.co.id/iklan/borongin-aja-gan-cakram-mio-tang-katup-gas-IDqQZQV.html,175.000,Borongin aja gan cakram mio tang katup gas,7,"Jakarta Selatan, Jakarta D.K.I.",via HP
Baru,396815653        			,http://olx.co.id/iklan/mediatelecom-gsm-home-IDqQZSt.html,300.000,Mediatelecom gsm home,10,"Banjarbaru Kota, Kalimantan Selatan",via HP
